recipe_title,url,record_health,vote_count,rating,description,cuisine,course,diet,prep_time,cook_time,ingredients,instructions,author,tags,category
Karnataka Style Avarekalu Sagu Recipe-Hyacinth Beans/ Mochai Kurma,https://www.archanaskitchen.com/karnataka-style-avarekalu-sagu-recipe-hyacinth-beans-mochai-kurma-recipe,good,6229,4.9333761438433,"Avarekalu or Avare Bele are the Hyacinth Beans. These beans are seasonal and found in abundance during the winter months in South India. It is widely used in the Karnataka Cuisine.   Recipe is a delicious side dish prepared using Avarekalu and Potato. The masala is prepared fresh using coconut, fried gram, green chillies, coriander leaves which gives the dish whole lot of flavours. Give this delicious   a try and serve it along with hot   or   for breakfast.  If you are looking for Sagu or Kurma recipes, here are a few that you can try and serve it for an Indian breakfast, lunch or dinner.",Karnataka,Lunch,Vegetarian,15 M,30 M,Avarekalu / Lilva Beans|Potato (Aloo)|Onion|Tomato|Mustard seeds|Curry leaves|Coriander (Dhania) Leaves|Lemon juice|Sunflower Oil|Salt|Fresh coconut|Roasted Gram Dal (Pottukadalai)|Garlic|Green Chillies|Poppy seeds|Coriander (Dhania) Seeds|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung),"To begin making Avarekalu Sagu Recipe, wash and pressure cook the hyacinth beans or avare and potato cubes with one cup water, salt for 2 to 3 whistles using a pressure cooker and keep aside. Allow the pressure to release naturally.|The next step is to make the sagu masala. Into the mixer grinder, add the Roasted chana dal, garlic, green chillies, poppy seeds, coriander seeds, cinnamon stick, cardamom pods and cloves. Add 1/4 cup of water and blend to make a smooth sagu masala paste.|Heat oil in a pan over medium heat, add the mustard seeds and let it splutter. Add the curry leaves and saute for a few seconds. |Add the chopped onion and saute until it turns translucent.|Add the tomatoes and cook until it turns soft and mushy.|Now, add the ground sagu masala paste, saute till the raw smell goes away. This will take about 2 to 3 minutes over medium heat.|Add the cooked hyacinth beans/ Avarekalu and potato, season with salt, add 2 cups of water, mix well. |Let the Avarekalu Sagu simmer for 10 minutes, so it all comes together as a thick sagu consistency.|Turn off the heat, squeeze the juice of half a lemon and garnish with coriander leaves and stir.|Give this delicious Avarekalu Sagu Recipe a try and serve it along with hot | or | for breakfast.",Nithya Anantham,South Indian Recipes|Indian Lunch Recipes|Healthy Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Karnataka Recipes|Weekend Lunch Recipes|Avarakkai Recipes (Broad Bean),Palya Recipes
Aava Pettina Majjiga Pulusu Recipe - Andhra Style Mor Kuzhambu,https://www.archanaskitchen.com/aava-pettina-majjiga-pulusu-recipe-yogurt-in-a-mustard-sauce,good,2232,4.9045698924731," is a traditional Andhra Brahmin recipe usually served with muddapappu (plain cooked toor dal) and rice. In this recipe of Pulusu, paste of mustard seeds, sesame seeds and chana dal is added to a Yogurt mixture and brought to a boil and tempered with mustard seeds. It is also popularly called as Mor Kuzhambu in Tamil Nadu. Serve   along with  ,  ,   for a wholesome lunch or dinner.  If you like this recipe, here are a few more Yogurt/ Dahi based   or   you can make and serve for an South Indian lunch or dinner.",Andhra,Lunch,Vegetarian,20 M,15 M,Water|Baby Potatoes|Carrot (Gajjar)|Bottle gourd (lauki)|Tomato|Salt|Green Chilli|Turmeric powder (Haldi)|Asafoetida (hing)|Curry leaves|Chana dal (Bengal Gram Dal)|Sesame seeds (Til seeds)|Rice|Mustard seeds|Fresh coconut|Hot water|Sunflower Oil|Mustard seeds|Methi Seeds (Fenugreek Seeds)|Asafoetida (hing),"To begin making Aava Pettina Majjiga Pulusu Recipe, soak Chana Dal, Sesame Seeds, Raw Rice, Mustard Seeds and Fresh Coconut in a cup of hot water for 20 minutes.|This is soaked in hot water so that the ingredients get soft and gets easy to grind the Aava paste (mustard paste).|Once the ingredients are soft, grind them all together in a mixer to a smooth paste and set the aava paste aside.  |Into a pressure cooker, add a cup of water, salt and turmeric powder, potato, carrots, bottle gourd, tomatoes, slit green chilli, curry leaves and pressure cook for 3 whistles. Turn off the heat and allow the pressure to release naturally. |In another pan, on a low heat add the cup of whisked curd, half a cup of water, the Aava paste, a pinch of Asafoetida and bring to boil. Turn off the heat. |Do not add salt to the curd mixture when it is boiling, the mixture will curdle. Add salt only after adding the vegetables.|After all the vegetables are cooked, add them to the curd mixture along with the water. Mix well and simmer the Aava Pettina Majjiga Pulusu for 3 to 4 minutes. Add more salt if required. |In a tadka pan, add a teaspoon of oil. Once the oil is hot, add mustard seeds, fenugreek seeds (do not add too many, just 4 to 7 seeds would suffice) and asafoetida.|Once the mustard seeds stops crackling, turn off the flame and pour this over the prepared Aava Pettina Majjiga Pulusu. Mix well and serve|Serve Andhra Style Aava Pettina Majjiga Pulusu along with |, |, | for a wholesome lunch or dinner.",Anusha Mallajosyula,South Indian Recipes|Indian Lunch Recipes|Dahi Recipes (Curd/Yogurt)|Mustard Recipes|Telugu Cuisine Recipes (Andhra & Telangana)|Chana Dal Recipes (Bengal Gram Dal)|Weekend Lunch Recipes|Pulusu Recipes,Pulissery Recipe (Mor Kuzhambu)
Tamil Nadu Style Paneer Kurma Recipe ,https://www.archanaskitchen.com/tamil-nadu-style-paneer-kurma-recipe,good,2307,4.9172084958821,Tamil Nadu Style Paneer Kurma Recipe is a dish that you must try out as it is simple and delicious to make. Kurma are generally prepared in many parts of Tamil Nadu which is usually had along with paratha for lunch.  The kurma that we generally see are made from mixed vegetables but we have tried out something different at our test kitchen by adding soft paneer in a rich and spicy curry. Serve the Tamil Nadu Style Paneer Kurma Recipe along with   and   by the side to enjoy your week day lunch.  If you are looking for more Paneer Recipes here are some : ,Tamil Nadu,Lunch,High Protein Vegetarian,10 M,35 M,Bay leaves (tej patta)|Fennel seeds (Saunf)|Cinnamon Stick (Dalchini)|Cloves (Laung)|Cardamom (Elaichi) Pods/Seeds|Star anise|Fresh coconut|Poppy seeds|Ginger|Tomatoes|Pearl onions (Sambar Onions)|Green Chillies|Turmeric powder (Haldi)|Red Chilli powder|Coriander Powder (Dhania)|Salt|Sunflower Oil,"To begin making the Tamil Nadu Style Paneer Kurma Recipe, into a blender, add the coconut, poppy seeds and ginger. Add very little water and blend to make a smooth paste. Once blended, transfer to a small bowl and keep aside.|Heat a tablespoon of oil in heavy bottomed pan; add all the whole spice like, bay leaf, cinnamon, cardamom, star anise, fennel seeds and clove and allow it to sizzle for few seconds.|Once that is done add chopped onions and saute for a couple of minutes until the onions are tender and the raw smell goes away. Add chopped tomatoes and saute until it softens up.|Once the tomatoes are softened, add all the spice powders. Saute until the aromas comes out and the masala is well cooked.|Add ground coconut paste and mix into the tomato mixture. Sprinkle salt and add 1 cup of water and bring it to a boil.|Slowly drop in the cubed paneer and boil the kurma gravy for another 15 minutes and switch off the heat.|Serve hot by sprinkling some chopped coriander leave on top.|Serve the Tamil Nadu Style Paneer Kurma Recipe along with | and |by the side to enjoy your week day lunch.",Archana's Kitchen,Paneer Recipes|High Protein Vegetarian Diet Recipes|Side Dish Recipes|Indian Lunch Recipes|Tamil Nadu recipes|Fusion Recipes|Weekend Lunch Recipes,Kurma Recipes (Korma)
Mexican Cottage Cheese Chicken Enchilada Recipe,https://www.archanaskitchen.com/mexican-cottage-cheese-chicken-enchilada-recipe,good,725,4.9627586206897,"What I love about Enchilada is it’s spice levels. I’m a huge spice lover and enchilada sauce is one of my favorite when it’s a bit spicier, as in Mexican Cottage Cheese Chicken Enchilada Recipe. The spice in it helps to lift up the amazing flavors to make enchilada delicious. Though you can make enchilada sauce at home very easily, I used the store bought one.  The cheese mixture in this dish is a combination of cottage cheese and sour cream. Serve  , a cheesy creamy Mexican delight either as a one pot dinner recipe, or along with   or   and a dessert like   for a wholesome weekend dinner with your best of kins. If you like this recipe, here are more similar recipes that you can also try",Mexican,Main Course,Non Vegeterian,15 M,60 M,Chicken breasts|Tortillas|Cheddar cheese|Salt|Black pepper powder|Extra Virgin Olive Oil|Onion|Pickled Jalapenos|Taco seasoning|Green Bell Pepper (Capsicum),"To begin making Mexican Cottage Cheese Chicken Enchilada Recipe, boil cleaned chicken breasts in a saucepan with enough water and shred them into pieces.|Heat olive oil in a wok and when the oil is hot, add the finely chopped onions and green capsicum. Saute well.|Once they are almost cooked and softened, add chopped jalapenos and mix for a minute.|Add shredded chicken along with taco seasoning, salt to taste and pepper powder to taste.|Pour the tomato basil pasta sauce to the wok and mix well. Cook for about 5 minutes on medium heat or till the sauce and spices are well absorbed by the chicken. Remove from heat and let it cool.|In another shallow frying pan whisk together sour cream and grated cottage cheese on a medium heat.|Season it with salt, pepper powder. Do a taste check and adjust spice. Remove the pan from heat.|Lightly warm the tortillas on a flat skillet.|On a flat plate once the tortillas are warmed, place chicken mixture in the middle, pour some cheese mixture and spoon about a tablespoon or two, of grated cheese. Roll the tortillas as tightly as you can.|Keep the oven to preheat at 160 degree centigrade.|Grease a lasagna baking pan. Place the rolled tortillas in the pan. Pour leftover cheese mixture and top it with grated cheese.|Bake in preheated oven for about 20-25 minutes or till all the cheese melts and a divine flavour emanates from the enchiladas.|Serve Mexican Cottage Cheese Chicken Enchilada Recipe, a cheesy creamy Mexican delight either as a one pot dinner recipe, or along with | or | and a dessert like | for a wholesome weekend dinner with your best of kins.",Jyothi Rajesh,Mexican Recipes|Weekend Dinner Ideas|Enchiladas Recipes|Cheese Recipes|One Pot Recipes,Mexican Recipes
Chicken Chilli Cheese Quesadillas Recipe,https://www.archanaskitchen.com/chicken-chilli-cheese-quesadillas-recipe,good,446,4.9596412556054,"A quesadilla is a tortilla, usually a corn tortilla, but is also sometimes made with a wheat tortilla, that is filled with cheese and then grilled. Chicken Chilli Cheese Quesadillas is typically made with chicken marinated in chipotle paste with a dash of lemon juice and then cooked with cheese. The mix is then filled in tortillas and grilled. This Mexican dish is super delicious and a perfect appetiser option for your brunch or high tea parties. Serve Chicken Chilli Cheese Quesadillas along with   and   for a perfect Mexican dinner on a weekend night. If you like this recipe, you can also try other Quesadilla Recipes such as  ",Mexican,Lunch,Non Vegeterian,10 M,60 M,Boneless chicken|Cheddar cheese|Onion|Green Bell Pepper (Capsicum)|Black pepper powder|Salt|Sweet corn|Lemon juice|Tortillas,"To begin making the Chicken Chilli Cheese Quesadillas recipe, firstly marinate chicken with chipotle paste, salt, crushed pepper and lime juice for minimum 40 minutes.|Heat butter in a |, add onion and sliced green pepper and saute for a while.|Now add the marinated chicken and saute for some more time.|Add tomato sauce and mix well. Cook till chicken softens.|Transfer the chicken mix in a microwave bowl and add in the cheese and corn. Mix well.|Microwave on high for 2 minutes in | and allow it to rest for a while.|Take one tortilla sheet and add spoonful of chicken chilli cheese mix and spread evenly.|Place another tortilla over it and grill on stove top grill pan.|Carefully flip the other side and grill again by brushing a little butter on top.|Transfer in a plate and carefully cut the quesadillas into four quadrants using a pizza cutter.|Similarly make more quesadillas and serve hot with your favourite dip. Serve Chicken Chilli Cheese Quesadillas along with | and | for a perfect Mexican dinner on a weekend night.",Shaheen Ali,Party Food Recipes|Party Starter & Appetizer Recipes|Mexican Recipes|Sweet Corn Recipes|Cheese Recipes|Quesadilla Recipes,Mexican Recipes
Kollu Puli Kuzhambu Recipe - Horsegram In A Tangy Gravy,https://www.archanaskitchen.com/kollu-puli-kuzhambu-recipe-horsegram-in-a-tangy-gravy,good,2124,4.9030131826742,"is a horse gram recipe which is traditionally made in an earthenware pot. Shallots added to the gravy gives a unique flavour and makes it a great dish that can be eaten with a variety of other  dishes.   is a lentil variety that is loaded with dietary fiber, vitamins, iron etc. Intake of Horse gram is excellent for people who are trying to reduce their weight. Horse Gram helps in curing bladder stone issues and also in improving the digestive system. Most important of all, it is great for  Serve   along with hot  ,   and   for a comforting weekday lunch. You can also serve Kollu Puli Kuzhambu along with   for a super  If you like this recipe, here are a few   you must try:",Tamil Nadu,Lunch,Diabetic Friendly,40 M,40 M,Horse Gram Dal (Kollu/ Kulith)|Shallots|Tomato|Fresh coconut|Coriander (Dhania) Seeds|Dry Red Chillies|Garlic|Curry leaves|Cumin seeds (Jeera)|Whole Black Peppercorns|Salt|Asafoetida (hing)|Turmeric powder (Haldi)|Gingelly oil|Mustard seeds,"To begin making the Kollu Puli Kuzhambu, soak horse gram dal in a sufficient amount of water for a couple of hours. |After 2 hours, pressure cook horse gram along with 1 chopped tomato, salt and the required water.|Pressure cook for 4 whistles, turn the heat to low and simmer for 20 minutes. Turn off the heat, allow the pressure to release naturally. |Once the pressure has released naturally, open the pressure cooker and drain the horse gram and set aside. Reserve the water for the gravy. |Place a heavy bottomed pan on low heat and add 1 teaspoon oil. |Once the oil is hot, add peppercorns, cumin seeds, coriander seeds and 5 dry red chillies. |Roast all the ingredients for 4 to 6 minutes, until you can smell the aroma of the spices. |Once they are roasted, add few curry leaves, peeled shallots, grated coconut, garlic and continue to saute till the onions become soft. |Add in the cooked horse gram with tomato. Stir all the ingredients well and turn off the flame. |Allow the ingredients to cool and grind to chutney consistency with adequate salt.|Kollu chutney or horse gram chutney is ready. The process of making this to a puli kuzhambu starts from here. This chutney is the base for the Puli Kuzhambu. |To make the Puli Kuzhambu, in a bowl, add the prepared tamarind water, the ground kollu tomato chutney along with the water it was cooked in. The kuzhambu should be thin.|Slice the remaining shallots and break the remaining chillies into pieces. |In an earthenware pot, add 2 teaspoon of oil and add the shallots, broken red chillies, turmeric powder and asafoetida.|Alternatively if you do not have an earthenware pot, use can make it in a saucepan.  |Once the onion turns pink, add the tamarind horse gram kuzhambu mixture and simmer for 15 minutes till the gravy thickens and raw smell of tamarind goes. |Meanwhile in a tadka or tempering pan, add a teaspoon of oil. Once the oil is hot, add mustard seeds. Add 2 finely chopped shallots and fry till they are golden brown. |Now add the curry leaves and turn off the tadka pan.|Pour the tempering over the Kollu Puli Kuzhambu and turn off the heat. Your tangy Kollu Puli Kuzhambu is ready to be served. |Serve Kollu Puli Kuzhambu along with hot |, | and | for a comforting weekday lunch.|You can also serve Kollu Puli Kuzhambu along with | for a super healthy lunch for Diabetics. ",Subashini Devi ,South Indian Recipes|Indian Lunch Recipes|Indian Vegetarian Recipes|Indian Diabetic Recipes|Tamarind Curry Recipes|Tamil Nadu recipes|Horse Gram Dal Recipes (Kollu/Kulith),Kuzhambu Recipes
Munthiri Masala Kurma Recipe - Kaju Masala Kurma Recipe,https://www.archanaskitchen.com/munthiri-masala-kurma-recipe-kaju-masala-kurma-recipe,good,411,4.9440389294404," is a rich South Indian gravy where cashews are cooked in ground tomato paste with perfect blend of indian spices. This delicious gravy dish goes perfectly with roti and rice. You can make this dish for your everyday meals or along with other dishes for your house parties.  Serve Munthiri Masala Kurma Recipe along with  ,  and   for your weeknight indian lunch or dinner. If you like this  , you can also try other   such as",South Indian Recipes,Lunch,Vegetarian,10 M,30 M,Whole cashews|Onion|Garlic|Ginger|Curry leaves|Red Chilli powder|Turmeric powder (Haldi)|Salt,"To begin making the Munthiri Masala Kurma Recipe, heat ghee in a heavy bottomed pan. Add 5-6 cashews and fry for 2-3 minutes till they are medium brown in colour. Once done, keep it aside|In a blender take remaining cashews and grind to a fine powder and keep aside.|In the same blender, add chopped onions, ginger, garlic and make it a fine paste without adding water.|Heat ghee in a heavy bottomed pan, add the onion ginger garlic paste and saute for a minute until the raw smell goes away.|Add the curry leaves, cashew powder, turmeric powder, red chilli powder, garam masala powder and sambar powder. Saute for a minute until it forms a good masala like consistency. |Once done, add the tomato puree and a cup of water and let the Munthiri Masala Kurma Recipe simmer for a good 3 to 4 minutes. Check the salt and spices and adjust accordingly.|Finally transfer the Munthiri Masala Kurma to a serving bowl and top it with the roasted cashew nuts.|Serve Munthiri Masala Kurma Recipe along with |,| and | for your weekday meal.",Sangeetha,Party Food Recipes|South Indian Recipes|Indian Lunch Recipes|Indian Dinner Recipes|Cashewnut Recipes,Kurma Recipes (Korma)
Goruchikkudu Kaya With Peanut Podi Recipe - Cluster Beans With Peanut ,https://www.archanaskitchen.com/goruchikkudu-kaya-with-peanut-podi-cluster-beans-with-peanut,good,5194,4.9123989218329,"Goruchikkudu Kaya which is the name for cluster beans in Telugu is a healthy and nutritious legume. It is known as Gavar in hindi, Kothavarangai in Tamil. It is a popular vegetable and goes well with both rice and roti.  Cluster beans have many healthy benefits. It has very high amount of folic acid, calcium, vitamin K, making it a super food during pregnancy. Hypoglycemic properties of cluster beans help in soothing nerves and controlling your diabetes.  is a simple and delicious South Indian recipe and you can serve it with  , or  with a  .  If you like this recipe, you can also try other Beans Recipes such as:",Andhra,Lunch,Vegetarian,15 M,20 M,Gawar Phali (Kothavarangai / Cluster beans)|Peanuts|Kashmiri Red Chilli Powder|Garlic|Sunflower Oil|Salt,"To begin making the Goruchikkudu Kaya With Peanut Podi Recipe, first wash and chop cluster beans and keep aside.|Heat a thick bottom pan and if you are using whole peanuts with the husk then roast the peanuts on medium flame until the peanuts turn golden brown. This will take about 10 minutes.|Cool, remove skin and transfer to a grinder. You can also use store bought roasted peanuts.|Along with the peanuts, add the garlic, chilli powder and salt and blend to make a coarse powder. Keep this roasted peanut podi / powder by the side.|Heat oil in  a Kadai or wok and add the cluster beans. Sprinkle some salt, 2 to 3 tablespoons of water and cover the pan and cook the Goruchikkudu kaya on medium heat until the cluster beans are tender and cooked through.|It will take about 5 minutes.|After the beans are cooked add the peanut podi masala to the beans and mix well. Stir the Goruchikkudu kaya With Peanut Podi for a minute on the flame and then switch of the heat. |Check the salt and adjust according to taste. Once done, transfer the Goruchikkudu kaya to a serving bowl and serve hot.|Goruchikkudu Kaya With Peanut Podi is a simple and delicious South Indian recipe and you can serve it with |,|or| with a |.",Archana's Kitchen,Vegetarian Recipes|South Indian Recipes|Indian Lunch Recipes|Peanut Recipes|Gavarfali/ Gawar Phali Recipes (Cluster Beans/ Kothavarangai),Poriyal Recipes (South Indian Sabzi)
Raw Mango Puliyogare Gojju Recipe With Peanuts,https://www.archanaskitchen.com/raw-mango-puliogare-gojju-recipe,good,595,4.8991596638655,"Puliyogare Gojju is a famous recipe from the southern india. Traditionally, tamarind is used to add to the tartness. However, with the summer fruit Raw Mango found in abundance at the moment, we have prepared the same using it. Raw Mango Puliyogare Gojju is easy to prepare, spiced raw mango preserve, eaten mixed with rice or as an accompaniment with dosa/idlis/chapathi. Did you know that raw mangoes have the highest amount of pectin? If you have the raw mango juice along with salt and honey regularly, you can even treat the gastrointestinal disorders. Raw Mango Puliyogare Gojju Recipe is prepared using the raw mango pulp, spiced with the freshly ground masala and then finished with a crunchy peanut tadka.  Serve the Raw Mango Puliyogare Gojju Recipe, mixed along with   and   for a light yet yummy weekday lunch. If you like this recipe, you can also try other Raw Mango recipes such as",South Indian Recipes,Lunch,Vegetarian,15 M,20 M,Mango (Raw)|Mustard seeds|White Urad Dal (Split)|Chana dal (Bengal Gram Dal)|Curry leaves|Raw Peanuts (Moongphali)|Jaggery|Asafoetida (hing)|Sunflower Oil|Black sesame seeds|Dry Red Chillies|Coriander (Dhania) Seeds|Mustard seeds|Methi Seeds (Fenugreek Seeds)|Cumin seeds (Jeera)|Whole Black Peppercorns,"To begin making Raw Mango Puliyogare Gojju Recipe, wash and peel the raw mango. Chop it into small cubes and make a fine paste using a mixer grinder. Keep aside.|Heat a pan and dry roast the - black sesame seeds, dry red chillies, coriander seeds, mustard seeds, fenugreek seeds, cumin seeds, and whole black pepper corns one by one, make a fine powder when cooled using a blender and keep aside.|Now, heat a teaspoon of oil in the same pan, add the ground raw mango paste and cook for 5 minutes until the raw smell goes away.|Add the ground masala gojju masala mix, 1/2 cup water, season with salt and mix well.|Let the mixture simmer for 10 minutes till it leaves the ends of the pan.|If, the mixture is too thick, you can add water at this stage and let the Raw Mango Puliyogare Gojju simmer till it becomes a thick paste.|In a small tadka pan, heat oil, add the mustard, urad dal and chana dal and let it crackle.|Add the asafoetida, peanuts and fry for a few minutes. Add the curry leaves and let it splutter.|Add this tadka to the bubbling Raw Mango Puliyogare Gojju. Add the jaggery powder, mix well, simmer for another 5 minutes and switch off the flame.|Serve the Raw Mango Puliyogare Gojju Recipe, mixed along with | and | for a light yet yummy weekday lunch.",Nithya Anantham,South Indian Recipes|Office Lunch Box Recipes|Indian Vegetarian Recipes|Mango Recipes|Karnataka Recipes|Chana Dal Recipes (Bengal Gram Dal)|Raw Mango recipes,Gojju Recipes
Kara Boondi Kurma Recipe - Boondi In Coconut Milk,https://www.archanaskitchen.com/kara-boondi-kurma-recipe-boondi-in-coconut-milk,good,337,4.9643916913947," is a simple and easy to make recipe, where you just need Boondi, coconut milk and the everyday masalas. This curry is popular in Gudiyatham, a place in Tamil Nadu. You can serve this curry with phulka, paratha or even a crisp ghee dosa. If you are looking for an easy everyday vegetarian curry, give this recipe a try which is full of flavour and taste. As it is easy to make, you can make it for your weekdays. Serve Kara Boondi Kurma along with   and  for an everyday meal. You can also serve it with Crisp   for your lunch. If you like this recipe, you can also try other  such as",Tamil Nadu,Lunch,Vegetarian,20 M,20 M,Boondi|Onion|Tomato|Green Chillies|Coconut milk|Coconut milk|Red Chilli powder|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Salt|Bay leaves (tej patta)|Mustard seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Sunflower Oil|Curry leaves|Coriander (Dhania) Leaves,"To begin making the Kara Boondi Kurma Recipe, heat oil in a heavy bottomed pan on medium flame. Add mustard seeds and allow it to splutter. |After 10 seconds, add bay leaves, cinnamon stick and cloves. Saute for about 30 seconds.|Next, add onions and cook till they turn soft and translucent.|Once the onions turn soft, add ginger garlic paste, slit green chillies, curry leaves, salt and turmeric powder. Mix everything well.|Add tomatoes, red chilli powder, coriander powder and let it cook till the tomatoes turn mushy. This will take about 3 to 4 minutes.|Add thin coconut milk and let it boil. Once it comes to boil, add the boondi. Once the gravy becomes thick, switch off the heat, add thick coconut milk and give it a stir.|Garnish with coriander leaves and serve hot.|Serve Kara Boondi Kurma along with | and |for an everyday meal. You can also serve it with Crisp | for your lunch.",Subashini Devi ,South Indian Recipes|Indian Lunch Recipes|Indian Dinner Recipes|Coconut Milk Recipes,Kurma Recipes (Korma)
Attirachi Kuzhambu Recipe - Spicy Mutton Gravy ,https://www.archanaskitchen.com/aatiraichi-kuzhambu-recipe-spicy-mutton-gravy,good,650,4.7861538461538," is a normal mutton gravy cooked with some traditional spicy ingredients. Cooking mutton with grounded spices gives the aroma and taste for this origin dish. So please don't skip anyone. Whenever we prefer cooking mutton, this is the most wanted dish. This gravy takes only around 30 minutes to cook when all the ingredients are ready.  Serve   along with ,  and  for your weekend meal. If you like this recipe, you can also try other Mutton recipes such as",South Indian Recipes,Lunch,Non Vegeterian,10 M,30 M,Mutton|Tomatoes|Bay leaf (tej patta)|Coriander (Dhania) Leaves|Water|Salt|Sunflower Oil|Ginger|Garlic|Shallots|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Star anise|Fennel seeds (Saunf)|Poppy seeds|Mace (Javitri)|Stone flower|Fresh coconut|Mustard seeds|Shallots|Curry leaves|Curry leaves,"To begin making the Attirachi Kuzhambu recipe, firstly grind all the ingredients - ginger, garlic, shallots, cinnamon stick, cardamom, star anise, fennel seeds, khus khus, mace, stone flower in a mixer jar without adding water. |Heat about 2 tablespoons oil in a pressure cooker, add bayleaf, grounded masala and saute it until the raw smell goes.|Once the raw smell goes, add mutton, saute it in the masala 2 minutes and then add tomatoes, sambar powder and garam masala. |When masalas getting blended, add water and salt. Cover and cook till 1 whistle and turn the flame medium for about 20 minutes. |Switch off the cooker and wait until the pressure releases. Grind the coconut with water nicely. Open the cooker and add coconut paste. Let it boil for about 2 minutes. After 2 minutes switch off and add the coriander leaves. |The next step is to temper the curry. Heat a kadai and add 1 teaspoon oil. After 10 seconds, add mustard seeds and when it splutter, add the chopped shallots. When it turns soft, add curry leaves then add it to the gravy. Give it a stir and serve hot.|Serve Attirachi Kuzhambu along with|, |and |for your weekend meal.",punitha josephine,Indian Lunch Recipes,Kuzhambu Recipes
Matar Samosa Recipe -Green Pea Samosa,https://www.archanaskitchen.com/matar-samosa-recipe-green-pea-samosa,good,2467,4.8544791244426,"Matar Samosa Recipe are an all-time favourite snack for most Indians. It's hard to resist them, at any time of day. Perfectly flaky pastry, that encases a filling of potatoes usually combined with spices and other ingredients, and then deep fried to crunchy goodness. They're perfect with ketchup or a dab or chutney on the side. This Matar Samosa Recipe uses a filling of matar or green peas stuffed inside the samosa casing, giving a unique twist to the traditional samosas that usually use potatoes as the base. Matar Samosa  can be served with a dollop of   and  or tomato ketchup, along with   in the evening. If you are looking for more Samosa Recipes here are some : ",North Indian Recipes,Snack,Vegetarian,45 M,10 M,All Purpose Flour (Maida)|Salt|Sunflower Oil|Cumin seeds (Jeera)|Cinnamon Powder (Dalchini)|Red Chilli powder|Amchur (Dry Mango Powder)|Green peas (Matar)|Salt|All Purpose Flour (Maida)|Water,"To begin making the Matar Samosa Recipe first, mix together half a teaspoon of salt into the flour. Rub ghee or vegetable shortening into the flour mixture, with your fingers until it resembles loose bread crumbs.|Gradually add water, slowly, and knead to make a soft but firm dough. Roll the dough into a ball, cover with a moist muslin cloth and keep aside.|The next step is to make the filling. In a kadai or heavy bottomed pan, warm the ghee, add the jeera and allow it to crackle and tip in the chilli paste. Saute these together for a minute.|Add peas followed by all the other spices and cook till the pea mixture becomes dry and all the water has dried up. Season with salt and cook again for 2-3 minutes. Set the peas mixture aside to cool down so it is easier to handle when shaping the samosas.|Make a flour paste, by combining the flour and water.|To begin making the samosa cases, divide the dough into small balls and roll them into thin circles. Cut each rolled-out circle into two halves by running your knife down the center, so you have 2 semi-circles for each disc. Roll the semi-circles into cones and using a teaspoon fill them with the peas mixture.|Dab the flour paste along the edges of the open side of the cone, press the two edges together and seal. Arrange the matar samosas in a platter and cover them with a moist muslin cloth.|Heat oil for deep frying in a kadai on medium heat. Deep fry the matar samosas in hot oil till they are golden brown. Try not to fry too many together as it will crowd the kadai and alter the cooking time.|Remove the Matar Samosa from the kadai using a slotted spoon and drain them on kitchen paper. |Matar Samosa  can be served with a dollop of | and |or tomato ketchup, along with | in the evening.",Richa Gupta,Tea Party Recipes|Chaat Party Recipes|Party Starter & Appetizer Recipes|Green Peas (Matar/ Pattani) Recipes|Samosa Recipe,Indian Snack Recipes
Karwar Style Varan Kadhi Recipe - Toor Dal in Coconut Milk Curry,https://www.archanaskitchen.com/karwar-style-varan-kadhi-recipe,good,425,4.8729411764706," is a humble recipe made simple with everyday used ingredients in the kitchen. Usually, Kadhi’s from North India is combined with besan flour to give it the right consistency but in this Kadhi we have used coconut to thicken. Karwar cuisine uses Coconut to many of their curries as a thickening agent. Many of their dishes consist of kokum which is an essential ingredient in their cooking. Kokum is a kind of fruit which is dried under the sun and it will help in providing sourness to many of their dishes. Serve the   along with  ,   and  to enjoy your comforting meal.  If you are looking for more Dal recipes here are some : ",Karnataka,Side Dish,Vegetarian,5 M,20 M,Arhar dal (Split Toor Dal)|Turmeric powder (Haldi)|Asafoetida (hing)|Salt|Fresh coconut|Green Chilli|Jaggery|Kokum (Malabar Tamarind)|Salt,"To begin making the Karwar Style Varan Kadhi Recipe by cooking the dal in a pressure cooker with 2 cups water, salt and teaspoon of turmeric powder.|Pressure cook it for 4 whistles, turn off the flame and allow the pressure to release naturally. |Meanwhile, grind the coconut and green chilies in a grinder to a smooth paste. Keep it aside.|Once the dal is cooked, using a masher, mash the dal into a smooth texture. Place the cooker on medium heat.|Transfer the coconut mixture into the dal and mix it, later add some jaggery and kokum. Check for seasoning as per your taste. Keep stirring till it comes to a boil.|Serve the Karwar Style Varan Kadhi Recipe along with |, | and| to enjoy your comforting meal.",Archana's Kitchen,Side Dish Recipes|South Indian Recipes|Indian Lunch Recipes|Office Lunch Box Recipes|Quick & Easy Recipes|Toor Dal Recipes (Pigeon Pea)|Coconut Milk Recipes|karwar Recipes,Kadhi Recipes
